Ngày,Tọa độ Y,Số lượng Visitor,Số Page Views
Feb 25,294.53125,11,15
Feb 26,284.375,13,20
Feb 27,318.90625,3,3
Feb 28,322.96875,1,1
Mar 1,312.8125,4,6
Mar 2,308.75,4,8
Mar 3,264.0625,15,30
Mar 4,312.8125,4,6
Mar 5,314.84375,5,5
Mar 6,306.71875,5,9
Mar 7,314.84375,5,5
Mar 8,322.96875,1,1
Mar 9,325,0,0
Mar 10,314.84375,5,5
Mar 11,298.59375,7,13
Mar 12,44.6875,76,138
Mar 13,184.84375,56,69
Mar 14,260,27,32
Mar 15,272.1875,22,26
Mar 16,282.34375,17,21
Mar 17,298.59375,10,13
Mar 18,280.3125,19,22
Mar 19,308.75,5,8
Mar 20,284.375,20,20
Mar 21,318.90625,3,3
Mar 22,278.28125,9,23
Mar 23,298.59375,8,13
Mar 24,320.9375,2,2
Mar 25,306.71875,8,9
Mar 26,300.625,5,12
Mar 27,13,,16
Mar 28,8,,10
Mar 29,4,,4
Mar 30,7,,7
Mar 31,4,,4
Apr 1,15,,19
Apr 2,13,,14
Apr 3,8,,12
Apr 4,6,,9
Apr 5,3,,3
Apr 6,2,,2
Apr 7,9,,11
Apr 8,4,,4
Apr 9,5,,6
Apr 10,3,,3
Apr 11,1,,1
Apr 12,10,,11
Apr 13,10,,11
Apr 14,8,,10
Apr 15,5,,6
Apr 16,5,,5
Apr 17,4,,5
Apr 18,1,,1
Apr 19,2,,2
Apr 20,,,
Apr 21,,,
Apr 22,,,
Apr 23,,,
Apr 24,,,
Apr 25,,,
Apr 26,,,
Apr 27,,,
Apr 28,,,
Apr 29,,,
Apr 30,,,
May 1,,,
May 2,,,
May 3,,,
May 4,,,
May 5,,,
May 6,,,
May 7,,,
May 8,,,
May 9,,,
May 10,,,
May 11,,,
May 12,,,
May 13,,,
May 14,,,
May 15,,,
May 16,,,
May 17,,,
May 18,,,
May 19,,,
May 20,,,
May 21,,,
May 22,,,
May 23,,,
May 24,,,
May 25,,,
May 26,,,
May 27,,,
May 28,,,
May 29,,,
May 30,,,
May 31,,,
Jun 1,,,
Jun 2,,,
Jun 3,,,
Jun 4,,,
Jun 5,,,
Jun 6,,,
Jun 7,,,
Jun 8,,,
Jun 9,,,
Jun 10,,,
Jun 11,,,
Jun 12,,,
Jun 13,,,
Jun 14,,,
Jun 15,,,
Jun 16,,,
Jun 17,,,